ID,Question,Answer,Language
TRAIN_0000,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0001,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0002,Nnyonnyola ebikolebwa okutangira siriimu mu baana? ?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0003,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0004,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba? ?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0005,Obubonero obw'akabi mu lubuto kuki?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0006,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0007,አዲስ የተወለደ ልጅን ከወባ በሽታ እንዴት መከላከል ይቻላል?,ህፃኑ በአልጋ አጎበር ውስጥ እንዲተኛ ማድረግ እና በአካባቢው ላይ የቆመ ውሃ እንዳይኖር በማድረግ የወባ ትንኝ መራባትን መከላከል ይቻላል።,Amharic
TRAIN_0008,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0009,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana. Asante.",Kiswahili
