ID,Answer
TEST_0000,Mfano wa jibu la afya.
TEST_0001,Mfano wa jibu la afya.
TEST_0002,Mfano wa jibu la afya.
TEST_0003,Mfano wa jibu la afya.
TEST_0004,Mfano wa jibu la afya.
TEST_0005,Mfano wa jibu la afya.
TEST_0006,Mfano wa jibu la afya.
TEST_0007,Mfano wa jibu la afya.
TEST_0008,Mfano wa jibu la afya.
TEST_0009,Mfano wa jibu la afya.
TEST_0010,Mfano wa jibu la afya.
TEST_0011,Mfano wa jibu la afya.
TEST_0012,Mfano wa jibu la afya.
TEST_0013,Mfano wa jibu la afya.
TEST_0014,Mfano wa jibu la afya.
TEST_0015,Mfano wa jibu la afya.
TEST_0016,Mfano wa jibu la afya.
TEST_0017,Mfano wa jibu la afya.
TEST_0018,Mfano wa jibu la afya.
TEST_0019,Mfano wa jibu la afya.
TEST_0020,Mfano wa jibu la afya.
TEST_0021,Mfano wa jibu la afya.
TEST_0022,Mfano wa jibu la afya.
TEST_0023,Mfano wa jibu la afya.
TEST_0024,Mfano wa jibu la afya.
TEST_0025,Mfano wa jibu la afya.
TEST_0026,Mfano wa jibu la afya.
TEST_0027,Mfano wa jibu la afya.
TEST_0028,Mfano wa jibu la afya.
TEST_0029,Mfano wa jibu la afya.
